,Order,MSE
0,"(0, 2, 2, 10)",2236820442.773896
0,"(2, 2, 3, 9)",2239578078.9607787
0,"(3, 0, 8)",2246367429.099827
0,"(0, 1, 8, 6)",2246979911.685846
0,"(0, 2, 6, 8)",2258576917.530083
0,"(3, 1, 0, 6)",2265536566.0585814
0,"(2, 1, 0, 6)",2278821744.300358
0,"(0, 2, 8, 8)",2282559743.7916574
0,"(0, 1, 1, 6)",2284354822.1902733
0,"(3, 1, 1, 10)",2287801076.3718815
0,"(0, 2, 5, 9)",2287971447.2133393
0,"(0, 2, 6, 9)",2289032869.607881
0,"(1, 1, 8, 6)",2291437748.658667
0,"(1, 1, 1, 6)",2294132368.7598796
0,"(2, 1, 6, 10)",2294844693.571605
0,"(1, 2, 7, 8)",2298272126.1429367
0,"(1, 1, 0, 6)",2298818607.772915
0,"(0, 2, 7, 8)",2299310005.3346143
0,"(2, 1, 9, 7)",2308718357.510243
0,"(0, 1, 7, 6)",2310794131.002734
0,"(1, 2, 6, 9)",2317857600.5456495
0,"(0, 1, 9, 6)",2321845397.97524
0,"(1, 2, 5, 9)",2328931901.271642
0,"(1, 1, 6, 6)",2333648285.4998317
0,"(1, 1, 7, 6)",2337311963.179076
0,"(2, 1, 5, 6)",2349506813.663565
0,"(0, 1, 3, 6)",2358339203.4295363
0,"(1, 1, 2, 6)",2359412021.747891
0,"(0, 2, 4, 9)",2373415099.818313
0,"(1, 1, 5, 11)",2378326845.8369675
0,"(0, 2, 7, 9)",2378477481.1547503
0,"(0, 2, 11, 11)",2378487409.880793
0,"(2, 0, 6)",2381565252.0257816
0,"(0, 1, 4, 6)",2383252506.8848414
0,"(2, 2, 11, 11)",2390886918.047594
0,"(1, 2, 11, 11)",2394059286.957499
0,"(0, 2, 5, 8)",2416914834.8006306
0,"(1, 2, 5, 8)",2424489017.8444066
0,"(1, 2, 4, 9)",2427443556.7514877
0,"(1, 2, 0, 7)",2430089051.4304748
0,"(1, 1, 5, 6)",2433893097.1977625
0,"(0, 2, 4, 8)",2442125983.803898
0,"(1, 2, 10, 11)",2443999526.1896195
0,"(0, 1, 0, 7)",2445233030.526757
0,"(1, 1, 2, 8)",2453189140.280256
0,"(2, 2, 3, 8)",2463396593.5006747
0,"(2, 2, 10, 11)",2473821369.6906486
0,"(2, 2, 5, 8)",2489964001.5928884
0,"(1, 1, 9, 6)",2498657479.797904
0,"(1, 2, 4, 8)",2499240758.329963
0,"(0, 2, 10, 11)",2505118260.952716
0,"(2, 2, 4, 11)",2512995989.709663
0,"(1, 0, 6)",2515626688.452309
0,"(1, 2, 5, 12)",2537035002.807933
0,"(1, 1, 2, 9)",2538182647.5613246
0,"(2, 1, 8, 7)",2544772146.0760355
0,"(1, 2, 1, 9)",2554296482.9815364
0,"(2, 1, 7, 7)",2557961088.2254853
0,"(3, 0, 11)",2565676625.4888253
0,"(0, 2, 7, 11)",2584833731.9983306
0,"(3, 1, 4, 11)",2586491169.8827047
0,"(1, 1, 2, 10)",2587547033.5734243
0,"(2, 2, 9, 11)",2590888962.3528047
0,"(2, 1, 3, 10)",2602276002.31904
0,"(0, 2, 1, 10)",2607549754.6875334
